Date,Brewery,Name,Description,Aroma,Taste,Finish,Rating,
N/A,Abe Erb,Das Spritzhaus Hefeweizen,"Translucent, Amber",Banana and Citrus Scent,"Light beer, hint of sweetness, fruity flavour, as well as a bit of bitterness. Fairly well balanced. Also a bit of carbonation","Little to no after taste, excellent finish",10,
9/25/2018,Abe Erb,Lemon of Troy,"Blonde, cloudy","Sweet, lemon","Fizzy, very sweet, tastes like a soda. Similar to Amsterdam Brewery's spotted cow",Slightly wheaty finish,10,
11/8/2018,Crabbie's,Original Alcoholic Ginger Beer,"Blonde yellow, fizzy, clear",Bright ginger aroma,"Sweet ginger flavours, slightly flizzy, like drinking a soda (does not feel like a beer at all)",Clean finish,10,
11/16/2018,Big Rig Brewery ,Release The Hounds - Black IPA,"Black, slightly fizzy","Slight cherry notes, bit of citrus-y IPA aroma; slight hint of alcohol","Met with an initial sweet cherry, citrus-y taste; sort of tangy, zesty; then met with those sharp hops; extremely well balanced. Definitely on the stronger side with respects to bitterness, but really well done, really fun beer","Dry, hoppy finish",10,
N/A,Amsterdam Brewery,Spotted Cow White Wheat,"Cloudy, orange-yellow","Smells sugary, like a soda, orange notes, wonderful aroma","Sweet, with a hint of bitter notes, light and balanced, slightly spicy/fizzy",Slightly wheaty finish,10,
N/A,Black Bellows Brewing Co.,White,"Murky, light amber","Wonderful citrus-y aroma, with floral notes","Sweet, tastes sort of fruity, slightly bitter, hint of carbonation -- may be a bit on the sweet side. Really unique ","Slightly spicy, the elderflower hits you right as the beer goes down, and a slightly malty finish.",10,
1/5/2019,Block B Brewing Co. ,Beauty and the Belgian,"Dark yellow ochre, clear","Hint of lychee-like, floral notes, great aroma","Good balance of sweet and bitter flavours, flavour is fairly light for a strong beer, very refreshing.",Slightly hoppy finish,9,
N/A,Broadhead Brewing Co.,Bodacious Blueberry,"Translucent, dark yellow color ",Blueberries! ,"Amazing beer. Light blueberry taste. Very smooth beer, with no offensive characteristics",Clean finish ,9,
N/A,Cold Garden Beverage Company,Cakeface,"Dark orange, translucent",Not much aroma,"Spicy, sweet, zesty, like alcoholic orange fanta",Standard hoppy finish,9,
11/12/2018,Guinness,Hop House 13 - Lager,"Red, Clear","Lychee aroma, slightly hoppy","Extremely sweet (straight up tastes like lychee), slightly hoppy, clean, crisp","Light hoppy, malty finish ",9,
N/A,Mill Street Brewery,Hopped and Confused,"Orange, foamy","Can smell the hops, along with a hint of fruity aroma","fruity, tropical, sweet, not too hoppy; really well balanced, creamy","Fairly clean finish, some lingering bitter flavours",9,
N/A,Moosehead Breweries,Moosehead Lager,"Deep yellow, translucent",Light beer aroma,"Well-balanced, rich flavours, slightly fizzy",Clean finish,9,
N/A,Henderson Brewing Company,Upper Canada Repatriation Lager,"Reddish brown, translucent","Sweet, sugary drink aroma","Maple-like flavours, slightly bitter, really smooth",Slight wheaty aftertaste,9,
